credential_id,requested_by,status,started_at,completed_at,verification_status,details
13,cron_worker,completed,2026-04-02T00:00:00Z,2026-04-02T00:00:00Z,passed,Password rotation completed for MongoDB (Sanjay Verma)
13,cron_worker,completed,2026-04-13T00:00:00Z,2026-04-13T00:00:00Z,passed,Password rotation completed for MongoDB (Sanjay Verma)
14,Lakshmi Menon,completed,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,passed,Password rotation completed for Oracle (Lakshmi Menon)
14,system,completed,2026-07-30T00:00:00Z,2026-07-30T00:00:00Z,passed,Password rotation completed for Oracle (Lakshmi Menon)
15,admin,timeout,2026-07-29T00:00:00Z,,failed,Password rotation timeout for Redis (Divya Saxena)
16,Vikram Singh,timeout,2026-03-06T00:00:00Z,,failed,Password rotation timeout for PostgreSQL (Vikram Singh)
16,Vikram Singh,completed,2026-05-23T00:00:00Z,2026-05-23T00:00:00Z,passed,Password rotation completed for PostgreSQL (Vikram Singh)
16,Vikram Singh,completed,2026-06-07T00:00:00Z,2026-06-07T00:00:00Z,passed,Password rotation completed for PostgreSQL (Vikram Singh)
17,cron_worker,completed,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,passed,Password rotation completed for SQL Server (Rohit Kumar)
17,admin,completed,2026-06-22T00:00:00Z,2026-06-22T00:00:00Z,passed,Password rotation completed for SQL Server (Rohit Kumar)
18,system,completed,2026-04-09T00:00:00Z,2026-04-09T00:00:00Z,passed,Password rotation completed for SQL Server (Amit Tiwari)
18,system,completed,2026-07-28T00:00:00Z,2026-07-28T00:00:00Z,passed,Password rotation completed for SQL Server (Amit Tiwari)
19,cron_worker,completed,2026-04-05T00:00:00Z,2026-04-05T00:00:00Z,passed,Password rotation completed for MariaDB (Neha Agarwal)
20,cron_worker,completed,2026-03-24T00:00:00Z,2026-03-24T00:00:00Z,passed,Password rotation completed for MariaDB (Kavita Rao)
20,system,completed,2026-07-01T00:00:00Z,2026-07-01T00:00:00Z,passed,Password rotation completed for MariaDB (Kavita Rao)
21,cron_worker,completed,2026-03-14T00:00:00Z,2026-03-14T00:00:00Z,passed,Password rotation completed for CockroachDB (Pooja Mishra)
21,admin,completed,2026-03-07T00:00:00Z,2026-03-07T00:00:00Z,passed,Password rotation completed for CockroachDB (Pooja Mishra)
22,system,completed,2026-03-24T00:00:00Z,2026-03-24T00:00:00Z,passed,Password rotation completed for MongoDB (Amit Tiwari)
23,cron_worker,completed,2026-03-18T00:00:00Z,2026-03-18T00:00:00Z,passed,Password rotation completed for Oracle (Sneha Patel)
23,admin,completed,2026-06-30T00:00:00Z,2026-06-30T00:00:00Z,passed,Password rotation completed for Oracle (Sneha Patel)
24,system,completed,2026-05-03T00:00:00Z,2026-05-03T00:00:00Z,passed,Password rotation completed for MongoDB (Amit Tiwari)
24,system,completed,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,passed,Password rotation completed for MongoDB (Amit Tiwari)
24,system,failed,2026-04-29T00:00:00Z,2026-04-29T00:00:00Z,failed,Password rotation failed for MongoDB (Amit Tiwari)
24,admin,completed,2026-04-16T00:00:00Z,2026-04-16T00:00:00Z,passed,Password rotation completed for MongoDB (Amit Tiwari)
24,Amit Tiwari,completed,2026-05-14T00:00:00Z,2026-05-14T00:00:00Z,passed,Password rotation completed for MongoDB (Amit Tiwari)
25,system,failed,2026-03-16T00:00:00Z,2026-03-16T00:00:00Z,failed,Password rotation failed for Oracle (Manish Dubey)
25,Manish Dubey,completed,2026-05-28T00:00:00Z,2026-05-28T00:00:00Z,passed,Password rotation completed for Oracle (Manish Dubey)
27,admin,failed,2026-07-14T00:00:00Z,2026-07-14T00:00:00Z,failed,Password rotation failed for Redis (Neha Agarwal)
28,cron_worker,failed,2026-04-12T00:00:00Z,2026-04-12T00:00:00Z,failed,Password rotation failed for SQL Server (Sanjay Verma)
29,Rahul Gupta,completed,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,passed,Password rotation completed for PostgreSQL (Rahul Gupta)
29,Rahul Gupta,failed,2026-06-22T00:00:00Z,2026-06-22T00:00:00Z,failed,Password rotation failed for PostgreSQL (Rahul Gupta)
30,system,timeout,2026-06-25T00:00:00Z,,failed,Password rotation timeout for SQL Server (Kavita Rao)
31,Pooja Mishra,failed,2026-06-19T00:00:00Z,2026-06-19T00:00:00Z,failed,Password rotation failed for Redis (Pooja Mishra)
31,Pooja Mishra,completed,2026-03-31T00:00:00Z,2026-03-31T00:00:00Z,passed,Password rotation completed for Redis (Pooja Mishra)
32,admin,completed,2026-05-06T00:00:00Z,2026-05-06T00:00:00Z,passed,Password rotation completed for MySQL (Arjun Mehta)
33,Priya Sharma,completed,2026-04-08T00:00:00Z,2026-04-08T00:00:00Z,passed,Password rotation completed for MariaDB (Priya Sharma)
34,Priya Sharma,failed,2026-02-20T00:00:00Z,2026-02-20T00:00:00Z,failed,Password rotation failed for Oracle (Priya Sharma)
34,cron_worker,completed,2026-04-10T00:00:00Z,2026-04-10T00:00:00Z,passed,Password rotation completed for Oracle (Priya Sharma)
35,Lakshmi Menon,completed,2026-07-01T00:00:00Z,2026-07-01T00:00:00Z,passed,Password rotation completed for MySQL (Lakshmi Menon)
35,system,failed,2026-07-26T00:00:00Z,2026-07-26T00:00:00Z,failed,Password rotation failed for MySQL (Lakshmi Menon)
35,cron_worker,completed,2026-03-25T00:00:00Z,2026-03-25T00:00:00Z,passed,Password rotation completed for MySQL (Lakshmi Menon)
35,admin,failed,2026-08-06T00:00:00Z,2026-08-06T00:00:00Z,failed,Password rotation failed for MySQL (Lakshmi Menon)
36,system,completed,2026-03-09T00:00:00Z,2026-03-09T00:00:00Z,passed,Password rotation completed for MongoDB (Ananya Reddy)
37,system,completed,2026-04-29T00:00:00Z,2026-04-29T00:00:00Z,passed,Password rotation completed for SQL Server (Meera Joshi)
38,Deepika Iyer,failed,2026-07-13T00:00:00Z,2026-07-13T00:00:00Z,failed,Password rotation failed for MySQL (Deepika Iyer)
38,cron_worker,completed,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z,passed,Password rotation completed for MySQL (Deepika Iyer)
38,admin,completed,2026-06-22T00:00:00Z,2026-06-22T00:00:00Z,passed,Password rotation completed for MySQL (Deepika Iyer)
38,admin,completed,2026-06-27T00:00:00Z,2026-06-27T00:00:00Z,passed,Password rotation completed for MySQL (Deepika Iyer)
39,cron_worker,failed,2026-03-21T00:00:00Z,2026-03-21T00:00:00Z,failed,Password rotation failed for MongoDB (Neha Agarwal)
40,admin,completed,2026-07-01T00:00:00Z,2026-07-01T00:00:00Z,passed,Password rotation completed for MongoDB (Vikram Singh)
40,Vikram Singh,failed,2026-03-10T00:00:00Z,2026-03-10T00:00:00Z,failed,Password rotation failed for MongoDB (Vikram Singh)
40,Vikram Singh,completed,2026-05-13T00:00:00Z,2026-05-13T00:00:00Z,passed,Password rotation completed for MongoDB (Vikram Singh)
41,admin,completed,2026-07-15T00:00:00Z,2026-07-15T00:00:00Z,passed,Password rotation completed for MySQL (Amit Tiwari)
41,system,completed,2026-07-31T00:00:00Z,2026-07-31T00:00:00Z,passed,Password rotation completed for MySQL (Amit Tiwari)
41,admin,completed,2026-03-07T00:00:00Z,2026-03-07T00:00:00Z,passed,Password rotation completed for MySQL (Amit Tiwari)
42,Meera Joshi,completed,2026-08-08T00:00:00Z,2026-08-08T00:00:00Z,passed,Password rotation completed for MySQL (Meera Joshi)
42,Meera Joshi,completed,2026-07-11T00:00:00Z,2026-07-11T00:00:00Z,passed,Password rotation completed for MySQL (Meera Joshi)
43,admin,completed,2026-03-24T00:00:00Z,2026-03-24T00:00:00Z,passed,Password rotation completed for MongoDB (Neha Agarwal)
43,Neha Agarwal,completed,2026-06-06T00:00:00Z,2026-06-06T00:00:00Z,passed,Password rotation completed for MongoDB (Neha Agarwal)
43,admin,completed,2026-06-01T00:00:00Z,2026-06-01T00:00:00Z,passed,Password rotation completed for MongoDB (Neha Agarwal)
44,admin,failed,2026-06-22T00:00:00Z,2026-06-22T00:00:00Z,failed,Password rotation failed for Oracle (Neha Agarwal)
46,Priya Sharma,completed,2026-02-28T00:00:00Z,2026-02-28T00:00:00Z,passed,Password rotation completed for SQL Server (Priya Sharma)
47,system,completed,2026-07-26T00:00:00Z,2026-07-26T00:00:00Z,passed,Password rotation completed for PostgreSQL (Amit Tiwari)
48,cron_worker,completed,2026-07-07T00:00:00Z,2026-07-07T00:00:00Z,passed,Password rotation completed for MySQL (Suresh Pandey)
48,system,completed,2026-03-13T00:00:00Z,2026-03-13T00:00:00Z,passed,Password rotation completed for MySQL (Suresh Pandey)
49,cron_worker,completed,2026-05-17T00:00:00Z,2026-05-17T00:00:00Z,passed,Password rotation completed for PostgreSQL (Neha Agarwal)
49,Neha Agarwal,completed,2026-06-28T00:00:00Z,2026-06-28T00:00:00Z,passed,Password rotation completed for PostgreSQL (Neha Agarwal)
50,Priya Sharma,completed,2026-04-16T00:00:00Z,2026-04-16T00:00:00Z,passed,Password rotation completed for MongoDB (Priya Sharma)
50,system,completed,2026-06-10T00:00:00Z,2026-06-10T00:00:00Z,passed,Password rotation completed for MongoDB (Priya Sharma)
